TEACHER_ID,GLOBAL_ID,FIRST_NAME,LAST_NAME,FULL_NAME,EMAIL,NATIONALITY,CERTIFICATION_LEVEL,SPECIALIZATION,YEARS_EXPERIENCE,STATUS,HIRE_DATE,CREATED_DATE,LAST_MODIFIED
T126,6c937f93-ff45-4b28-8b02-f637d0111dc7,Ingrid,Becker,Ingrid Becker,ingrid.becker126@6degrees.demo,British,Bachelor's + State Teaching License,Physics,8,Active,2013-08-01,2026-06-07,2026-06-07
T127,4f6538a8-74ea-45ce-adb9-c97d90066038,Maria,Yamamoto,Maria Yamamoto,maria.yamamoto127@6degrees.demo,Canadian,IB Educator Certificate,History,14,Active,2009-08-01,2026-06-07,2026-06-07
T128,8e2f590d-ddc9-4592-8346-4fcc710da32a,Sarah,Walsh,Sarah Walsh,sarah.walsh128@6degrees.demo,Jordanian,Doctorate (EdD/PhD),Drama,10,Active,2011-08-01,2026-06-07,2026-06-07
T129,35905b85-1130-4134-8ea1-fb16df53feb5,Aisha,Abara,Aisha Abara,aisha.abara129@6degrees.demo,French,Master's in Education,Environmental Systems,8,Active,2018-08-01,2026-06-07,2026-06-07
T130,b70faf61-b6d3-4c3d-9fc3-6def07d10ccd,Marcus,Williams,Marcus Williams,marcus.williams130@6degrees.demo,South African,Master's in Education,History,8,Active,2016-08-01,2026-06-07,2026-06-07
T131,3a2bdf47-73ce-4779-8abf-420b27bfed4b,Leila,Foster,Leila Foster,leila.foster131@6degrees.demo,Dutch,Doctorate (EdD/PhD),French,17,Active,2003-08-01,2026-06-07,2026-06-07
T132,44b0ac19-55b5-4bc5-ad2b-552b75e94c01,Felix,Vargas,Felix Vargas,felix.vargas132@6degrees.demo,Filipino,Bachelor's + PGCE,Mandarin,20,Active,1998-08-01,2026-06-07,2026-06-07
T133,0fdbdee5-9d96-4ddd-a725-e35a43c58d1b,Rachel,Bauer,Rachel Bauer,rachel.bauer133@6degrees.demo,Jordanian,Master's in Education,French,4,Active,2019-08-01,2026-06-07,2026-06-07
T134,d6727d49-632c-4081-b360-55f4e860e486,Diego,Lawson,Diego Lawson,diego.lawson134@6degrees.demo,Indian,Master's in Subject Area,French,10,Active,2014-08-01,2026-06-07,2026-06-07
T135,76ae714e-41d8-48b6-8d83-2ea26cc5c42d,Daniel,Rahman,Daniel Rahman,daniel.rahman135@6degrees.demo,British,Master's in Subject Area,Drama,17,Active,2003-08-01,2026-06-07,2026-06-07
T136,bbcf4c2d-0ea4-4474-8a5b-cd4d138e6f9c,Emily,Zhang,Emily Zhang,emily.zhang136@6degrees.demo,Indian,PGCE,Theory of Knowledge,3,Active,2021-08-01,2026-06-07,2026-06-07
T137,bc32fa53-0bb8-4a58-87be-d59d9fbc15e0,James,O'Brien,James O'Brien,james.obrien137@6degrees.demo,Indian,Doctorate (EdD/PhD),English as an Additional Language,13,Active,2006-08-01,2026-06-07,2026-06-07
T138,bdce7dba-51f7-48f0-b368-08bac8f1be3c,Zainab,Jensen,Zainab Jensen,zainab.jensen138@6degrees.demo,American,Bachelor's + State Teaching License,Mathematics,9,Active,2012-08-01,2026-06-07,2026-06-07
T139,2c665c49-1868-46ba-9b24-1575c74ad772,Laura,Costa,Laura Costa,laura.costa139@6degrees.demo,French,Master's in Education,French,8,Active,2018-08-01,2026-06-07,2026-06-07
T140,c0d18854-728d-4f78-805b-066e00ffbb95,Ahmed,Acharya,Ahmed Acharya,ahmed.acharya140@6degrees.demo,New Zealander,Bachelor's + PGCE,Physics,8,Active,2017-08-01,2026-06-07,2026-06-07
T141,7dafb004-5191-43d9-bbc3-7b1cdefe4fea,Andrew,Anderson,Andrew Anderson,andrew.anderson141@6degrees.demo,Japanese,Master's in Subject Area,Psychology,8,Active,2017-08-01,2026-06-07,2026-06-07
T142,d06ace92-2645-4d8c-8f63-54374557067a,Tariq,Becker,Tariq Becker,tariq.becker142@6degrees.demo,German,Doctorate (EdD/PhD),Chemistry,11,Active,2009-08-01,2026-06-07,2026-06-07
T143,48421be7-54ad-4cb6-813d-9766f301f981,Ingrid,Hassan,Ingrid Hassan,ingrid.hassan143@6degrees.demo,Filipino,PGCE,Computer Science,14,Active,2007-08-01,2026-06-07,2026-06-07
T144,9518300e-289a-4614-94eb-9bbdfd93d0be,Samuel,Greene,Samuel Greene,samuel.greene144@6degrees.demo,Irish,IB Educator Certificate,Business Management,7,Active,2017-08-01,2026-06-07,2026-06-07
T145,44b5edd7-adc6-4ceb-834b-c13ccdece17a,Leila,Nguyen,Leila Nguyen,leila.nguyen145@6degrees.demo,Dutch,Master's in Subject Area,English,10,Active,2011-08-01,2026-06-07,2026-06-07
T146,763a1044-5e56-440f-b3d6-d88ef30665aa,Laura,Kowalski,Laura Kowalski,laura.kowalski146@6degrees.demo,Irish,PGCE,Design Technology,7,Active,2019-08-01,2026-06-07,2026-06-07
T147,6ac768f3-3aac-4fe1-9ae3-b704ba530136,Connor,Ibrahim,Connor Ibrahim,connor.ibrahim147@6degrees.demo,Kenyan,Bachelor's + State Teaching License,Chemistry,4,Active,2019-08-01,2026-06-07,2026-06-07
T148,73440bdd-f983-44c9-a971-78f5467dcba5,Emily,Anderson,Emily Anderson,emily.anderson148@6degrees.demo,Kenyan,Master's in Subject Area,Geography,13,Active,2009-08-01,2026-06-07,2026-06-07
T149,26d5261b-f300-4bfc-9c5e-4fca98b90fec,Tariq,Okafor,Tariq Okafor,tariq.okafor149@6degrees.demo,Egyptian,Doctorate (EdD/PhD),French,8,Active,2014-08-01,2026-06-07,2026-06-07
T150,63ca493c-007a-4cf6-8b0c-d6f37af8667b,Naomi,Quinn,Naomi Quinn,naomi.quinn150@6degrees.demo,Jordanian,PGCE,Arabic,8,Active,2013-08-01,2026-06-07,2026-06-07
